sample	label
Khay 24 lon bia Tiger 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia Sài Gòn Lager 330ml	Bia, rượu, đồ uống có cồn
Khay 24 lon bia Heineken Sleek 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia 333 330ml	Bia, rượu, đồ uống có cồn
Thùng 20 lon bia Budweiser 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia Larue Xanh 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia Huda 330ml	Bia, rượu, đồ uống có cồn
Thùng 12 lon bia Bia Việt 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon Bia Red Ruby 330ml	Bia, rượu, đồ uống có cồn
Cocktail chanh Chill và snack cay đặc biệt Karamucho	Bia, rượu, đồ uống có cồn
6 lon bia Carlsberg Danish Pilsner 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia Beck's 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia Tiger Crystal 330ml	Bia, rượu, đồ uống có cồn
Thùng 12 lon bia Beck's Ice 500ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia Sài Gòn Special Sleek 330ml	Bia, rượu, đồ uống có cồn
Khay 24 lon bia Heineken Silver 330ml	Bia, rượu, đồ uống có cồn
Khay 24 lon bia Tiger Platinum Wheat Lager 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia Larue Special 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon Hoegaarden White 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia trái cây San Miguel vải 330ml	Bia, rượu, đồ uống có cồn
Thùng 24 lon bia Sapporo Blue Cap 330ml	Bia, rượu, đồ uống có cồn
Thùng 20 chai bia trái cây Eibauer Radler Naturtub 250ml	Bia, rượu, đồ uống có cồn
6 lon bia Sài Gòn vị cà phê 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Tiger Platinum Wheat Lager 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Beck's Ice 330ml	Bia, rượu, đồ uống có cồn
6 chai bia Corona Extra 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Tiger 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Sài Gòn Lager 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Tiger Crystal 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Sài Gòn Special Sleek 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Heineken Sleek 330ml	Bia, rượu, đồ uống có cồn
6 lon bia 333 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Budweiser 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Larue Xanh 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Heineken Silver 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Huda 330ml	Bia, rượu, đồ uống có cồn
6 lon Bia Việt 330ml	Bia, rượu, đồ uống có cồn
6 lon Bia Red Ruby 330ml	Bia, rượu, đồ uống có cồn
6 lon bia Larue Special 330ml	Bia, rượu, đồ uống có cồn
Thức ăn cho mèo lớn Whiskas vị cá thu túi 1.2kg	Thức ăn thú cưng
Thức ăn chó lớn Pedigree vị bò, rau củ 1.5kg	Thức ăn thú cưng
Bánh chăm sóc răng cho chó SmartHeart gói 100g	Thức ăn thú cưng
Thức ăn mèo con Me-O vị cá biển gói 400g	Thức ăn thú cưng
Pate cho mèo Cherman vị cá thu và cá hồi gói 85g	Thức ăn thú cưng
Thức ăn cho mèo Kitekat vị cá ngừ túi 1.4kg	Thức ăn thú cưng
Thức ăn chó lớn Classic vị thịt bò túi 2kg	Thức ăn thú cưng
Pate cho mèo Aatas Cat vị gà và cua lon 80g	Thức ăn thú cưng
Thức ăn chó trưởng thành Ganador vị gà nướng gói 400g	Thức ăn thú cưng
Pate cho mèo Cherman cá ngừ và cá hồi gói 85g	Thức ăn thú cưng
Pate cho mèo Cherman vị cá ngừ gói 85g	Thức ăn thú cưng
Pate cho mèo Cherman vị cá thu gói 85g	Thức ăn thú cưng
Pate cho mèo Cherman vị cá ngừ và gà gói 85g	Thức ăn thú cưng
Thức ăn hạt cho mèo mọi lứa tuổi Nabirang túi 1.5kg	Thức ăn thú cưng
5 gói thức ăn cho mèo Cherman vị cá mòi 12g	Thức ăn thú cưng
5 gói thức ăn cho mèo Cherman vị cá hồi 12g	Thức ăn thú cưng
5 gói thức ăn hỗn hợp cho mèo Cherman vị cá ngừ 12g	Thức ăn thú cưng
Thức ăn mèo lớn Me-O vị cá ngừ và cá thịt trắng túi 80g	Thức ăn thú cưng
Thức ăn cho mèo lớn Me-O vị cá biển túi 80g	Thức ăn thú cưng
Thức ăn cho mèo trưởng thành Me-O vị cá ngừ túi 80g	Thức ăn thú cưng
Thức ăn cho mèo con Me-O vị cá ngừ túi 80g	Thức ăn thú cưng
Thức ăn mèo lớn Me-O vị cá mòi, gà và gạo túi 80g	Thức ăn thú cưng
Thức ăn chó lớn SmartHeart vị thịt bò nướng túi 1.5kg	Thức ăn thú cưng
Thức ăn chó lớn SmartHeart vị cừu và gạo túi 1.5kg	Thức ăn thú cưng
Thức ăn chó con SmartHeart vị thịt bò và sữa túi 3kg	Thức ăn thú cưng
Thức ăn chó lớn SmartHeart vị thịt cừu và gạo túi 3kg	Thức ăn thú cưng
Thức ăn chó lớn SmartHeart vị thịt bò nướng túi 3kg	Thức ăn thú cưng
Thức ăn chó SmartHeart vị thịt gà và gan lon 400g	Thức ăn thú cưng
Thức ăn chó SmartHeart vị thịt bò, gan lon 400g	Thức ăn thú cưng
Bánh thưởng cho chó SmartHeart thịt gà, cải bó xôi 4 cây x 15g	Thức ăn thú cưng
Bánh thưởng cho chó SmartHeart vị thịt gà, cà rốt 4 cây x 15g	Thức ăn thú cưng
Bánh thưởng cho chó SmartHeart vị thịt gà, bí ngô 4 cây x 15g	Thức ăn thú cưng
Bánh thưởng cho chó SmartHeart vị dâu 4 cây x 15g	Thức ăn thú cưng
Thức ăn cho mèo lớn Me-O vị cá thu túi 7kg	Thức ăn thú cưng
Thức ăn chó nhỏ SmartHeart vị thịt bò nướng túi 3kg	Thức ăn thú cưng
Thức ăn mèo Me-O vị cá thu túi 1.2kg	Thức ăn thú cưng
Thức ăn mèo Me-O vị hải sản túi 1.2kg	Thức ăn thú cưng
Thức ăn mèo Me-O vị cá ngừ túi 1.2kg	Thức ăn thú cưng
Thức ăn mèo con Me-O vị cá biển túi 1.1kg	Thức ăn thú cưng
Thức ăn chó nhỏ SmartHeart vị thịt bò nướng túi 1.5kg	Thức ăn thú cưng
Bánh thưởng cho mèo Me-O vị cá ngừ 4 cây x 15g	Thức ăn thú cưng
Bánh thưởng dạng kem cho mèo Me-O vị cá hồi 4 cây x 15g	Thức ăn thú cưng
Bánh thưởng cho mèo Me-O vị gà, gan 4 cây x 15g	Thức ăn thú cưng
Bánh thưởng cho mèo Me-O vị cua 4 cây x 15g	Thức ăn thú cưng
Bánh giúp xương hông khoẻ cho chó SmartHeart gói 100g	Thức ăn thú cưng
